excel_row,source_code,permalink
49,2000-H651-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hrc-0048?accountid=10598
50,2000-H651-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hrc-0049?accountid=10598
51,2000-H701-14,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1998-sci-0044?accountid=10598
52,2000-H701-31,
53,2000-H701-32,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-sci-0048?accountid=10598
54,2000-H701-37,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-sci-0051?accountid=10598
55,2000-H701-38,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-sci-0052?accountid=10598
56,2000-H701-44,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-sci-0054?accountid=10598
57,2000-H701-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-sci-0056?accountid=10598
58,2000-H721-2,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-smb-0029?accountid=10598
59,2000-H751-14,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0011?accountid=10598
60,2000-H751-17,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0014?accountid=10598
61,2000-H751-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0015?accountid=10598
62,2000-H751-20,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0018?accountid=10598
63,2000-H751-22,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0020?accountid=10598
64,2000-H751-25,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0023?accountid=10598
65,2000-H751-29,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0026?accountid=10598
66,2000-H751-6,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-hti-0038?accountid=10598
67,2000-H781-2,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-wam-0023?accountid=10598
68,2000-S161-16,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-anf-0010?accountid=10598
69,2000-S161-21,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-anf-0002?accountid=10598
70,2000-S311-1,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0052?accountid=10598
71,2000-S311-10,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0042?accountid=10598
72,2000-S311-11,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0043?accountid=10598
73,2000-S311-13,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0045?accountid=10598
74,2000-S311-15,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0047?accountid=10598
75,2000-S311-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0050?accountid=10598
76,2000-S311-19,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0051?accountid=10598
77,2000-S311-20,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0053?accountid=10598
78,2000-S311-22,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0055?accountid=10598
79,2000-S311-23,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0056?accountid=10598
80,2000-S311-24,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0057?accountid=10598
81,2000-S311-26,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0059?accountid=10598
82,2000-S311-27,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0060?accountid=10598
83,2000-S311-28,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0061?accountid=10598
84,2000-S311-3,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0066?accountid=10598
85,2000-S311-31,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0001?accountid=10598
86,2000-S311-33,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0064?accountid=10598
